address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
Ravenna Ave NE,Seattle,WA,98115,NA,1570.0,3.0,2.0,124,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434158_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NE 74th St,Seattle,WA,98115,NA,1850.0,3.0,2.0,293,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/129646049_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NE 86th St,Seattle,WA,98115,NA,2530.0,3.0,3.0,378,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434719_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
14328 Edgewater Ln NE,SEATTLE,WA,98125,2350000,2441.0,3.0,2.25,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/14328-Edgewater-Ln-NE-Seattle-WA-98125/49034329_zpid/
10501 8TH Ave NE APT 302,SEATTLE,WA,98125,289000,970.0,2.0,1.0,4,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/10501-8TH-Ave-NE-APT-302-Seattle-WA-98125/48986953_zpid/
11012 38TH Ave NE,SEATTLE,WA,98125,590000,1590.0,3.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11012-38TH-Ave-NE-Seattle-WA-98125/48919201_zpid/
13504 3RD Ave NE,SEATTLE,WA,98125,650000,2660.0,6.0,2.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/13504-3RD-Ave-NE-Seattle-WA-98125/48830334_zpid/
845 NE 125TH St APT 102,SEATTLE,WA,98125,270000,631.0,1.0,1.0,4,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/845-NE-125TH-St-APT-102-Seattle-WA-98125/82364749_zpid/
10618 10TH Pl NE,SEATTLE,WA,98125,899950,3170.0,4.0,3.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/10618-10TH-Pl-NE-Seattle-WA-98125/48736349_zpid/
11705 Sand Point Way NE,SEATTLE,WA,98125,625000,1790.0,4.0,3.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11705-Sand-Point-Way-NE-Seattle-WA-98125/49103474_zpid/
11507 31ST Ave NE,SEATTLE,WA,98125,750000,1890.0,4.0,2.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11507-31ST-Ave-NE-Seattle-WA-98125/48875782_zpid/
1019 NE 117TH St,SEATTLE,WA,98125,795000,2140.0,5.0,3.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1019-NE-117TH-St-Seattle-WA-98125/48776145_zpid/
